@relation dataset2

@attribute neighbourhood numeric
@attribute price numeric
@attribute minimum_nights numeric
@attribute availability_365 numeric
@attribute room_type {'Private room','Entire home/apt','Shared room'}

@data
1,49,1,365,'Private room'
1,32,1,365,'Private room'
1,27,1,362,'Private room'
1,30,2,74,'Private room'
1,40,1,365,'Private room'
1,24,1,267,'Private room'
1,19,7,180,'Private room'
1,20,4,346,'Private room'
1,50,4,276,'Entire home/apt'
1,26,6,58,'Private room'
1,45,1,0,'Private room'
1,22,1,169,'Private room'
1,55,2,365,'Private room'
1,70,1,365,'Private room'
1,100,1,0,'Entire home/apt'
1,85,1,0,'Entire home/apt'
1,45,1,345,'Private room'
1,39,7,338,'Private room'
1,35,1,365,'Private room'
1,95,1,163,'Entire home/apt'
1,110,1,365,'Entire home/apt'
1,30,2,25,'Private room'
1,71,3,360,'Entire home/apt'
1,100,2,170,'Entire home/apt'
1,45,4,44,'Entire home/apt'
1,75,1,365,'Private room'
1,30,2,364,'Private room'
1,31,5,184,'Private room'
1,35,1,362,'Private room'
1,70,1,194,'Entire home/apt'
1,45,1,8,'Entire home/apt'
1,29,1,364,'Private room'
1,16,2,89,'Private room'
1,18,1,70,'Private room'
1,38,2,338,'Private room'
1,85,3,207,'Entire home/apt'
1,49,3,62,'Entire home/apt'
1,80,1,365,'Private room'
1,56,1,169,'Private room'
1,100,1,0,'Entire home/apt'
1,32,1,365,'Private room'
1,90,14,0,'Entire home/apt'
1,30,1,364,'Private room'
1,30,1,365,'Private room'
1,30,1,364,'Private room'
1,130,2,90,'Entire home/apt'
1,36,5,155,'Entire home/apt'
1,30,1,364,'Private room'
1,22,1,89,'Private room'
1,26,4,75,'Private room'
1,25,1,0,'Private room'
1,175,3,269,'Entire home/apt'
1,16,3,196,'Private room'
1,55,1,365,'Entire home/apt'
1,80,1,313,'Entire home/apt'
1,85,2,0,'Entire home/apt'
1,25,1,81,'Private room'
1,26,1,365,'Private room'
1,75,5,19,'Entire home/apt'
1,100,5,364,'Private room'
1,100,3,178,'Entire home/apt'
1,70,1,286,'Entire home/apt'
1,23,1,0,'Private room'
1,28,5,62,'Entire home/apt'
1,35,1,0,'Private room'
1,150,2,20,'Entire home/apt'
1,60,3,0,'Entire home/apt'
1,90,3,323,'Entire home/apt'
1,164,7,0,'Entire home/apt'
1,24,1,350,'Private room'
1,105,5,0,'Entire home/apt'
1,25,1,90,'Private room'
1,50,1,365,'Private room'
