price,minimum_nights,availability_365,neighbourhood,room_type
80,3,0,6,2
190,5,220,6,2
139,2,180,6,2
65,2,364,6,1
55,1,171,6,2
40,2,180,6,1
45,1,0,6,1
85,2,349,6,2
90,1,0,6,2
80,1,88,6,1
34,1,90,6,1
519,4,0,6,2
42,2,48,6,1
75,2,81,6,2
75,1,358,6,1
40,1,169,6,1
50,1,365,6,1
100,1,316,6,2
80,3,0,6,1
65,2,0,6,2
165,1,364,6,2
35,2,78,6,1
69,2,359,6,2
200,2,75,6,2
49,1,365,6,1
350,7,87,6,2
250,3,62,6,2
93,14,324,6,2
120,4,32,6,2
25,1,365,6,1
117,3,364,6,2
110,1,92,6,2
70,7,119,6,2
150,1,0,6,2
340,4,0,6,2
75,2,62,6,2
85,2,0,6,2
195,6,26,6,2
60,1,364,6,1
50,1,347,6,1
490,2,310,6,2
40,2,341,6,1
49,1,69,6,1
38,1,301,6,1
200,3,246,6,2
36,1,278,6,1
91,2,21,6,2
108,2,170,6,2
62,1,0,6,2
70,1,0,6,2
90,2,260,6,2
38,2,43,6,3
55,1,136,6,1
305,3,0,6,2
350,4,317,6,2
90,3,0,6,2
